,Title,Wage min,Wage max,Currency,Link,Source
0,"C# developer junior / middle (.net, full-stack / back-end)",100000,220000,руб.,https://nn.hh.ru/vacancy/76709182?from=vacancy_search_list&query=junior+python,hh
1,ML-специалист (Junior),1000,2000,USD,https://nn.hh.ru/vacancy/76086723?from=vacancy_search_list&query=junior+python,hh
2,Junior Python developer,50000,90000,руб.,https://nn.hh.ru/vacancy/77067279?from=vacancy_search_list&query=junior+python,hh
3,Junior Python Developer,0,0,0,https://nn.hh.ru/vacancy/77125307?from=vacancy_search_list&query=junior+python,hh
4,Разработчик Python Junior,0,0,0,https://nn.hh.ru/vacancy/74052153?from=vacancy_search_list&query=junior+python,hh
5,Аналитик данных (Junior),70000,0,руб.,https://nn.hh.ru/vacancy/76991488?from=vacancy_search_list&query=junior+python,hh
6,Python разработчик (в офис),70000,130000,руб.,https://nn.hh.ru/vacancy/76570021?from=vacancy_search_list&query=junior+python,hh
7,Python Backend Developer (Junior/Remote),0,150000,руб.,https://nn.hh.ru/vacancy/76891416?from=vacancy_search_list&query=junior+python,hh
8,Junoir backend developer (Python),0,60000,руб.,https://nn.hh.ru/vacancy/77128079?from=vacancy_search_list&query=junior+python,hh
9,Junior Data Analyst,0,0,0,https://nn.hh.ru/vacancy/76902009?from=vacancy_search_list&query=junior+python,hh
10,Python (Junior),0,0,0,https://nn.hh.ru/vacancy/76870425?from=vacancy_search_list&query=junior+python,hh
11,Junior/Middle DevOps Engineer,100000,0,руб.,https://nn.hh.ru/vacancy/76716310?from=vacancy_search_list&query=junior+python,hh
12,Программист-разработчик (Junior backend - разработчик),0,250000,KZT,https://nn.hh.ru/vacancy/76317801?from=vacancy_search_list&query=junior+python,hh
13,Junior Python разработчик,0,0,0,https://nn.hh.ru/vacancy/76805135?from=vacancy_search_list&query=junior+python,hh
14,Junior Python Backend Developer - разработчик Python,80000,120000,руб.,https://nn.hh.ru/vacancy/76811711?from=vacancy_search_list&query=junior+python,hh
15,Программист Python (Junior),30000,0,руб.,https://nn.hh.ru/vacancy/76771861?from=vacancy_search_list&query=junior+python,hh
16,Fullstack разработчик (junior),50000,90000,руб.,https://nn.hh.ru/vacancy/76041411?from=vacancy_search_list&query=junior+python,hh
